GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G28605","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28605",,,,,,,,"86000US28605",,,"ZCTA5 28605",69459,"ZCTA5 28605",16824
"G28606","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28606",,,,,,,,"86000US28606",,,"ZCTA5 28606",34667,"ZCTA5 28606",10920
"G28607","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28607",,,,,,,,"86000US28607",,,"ZCTA5 28607",43728,"ZCTA5 28607",4357
"G28609","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28609",,,,,,,,"86000US28609",,,"ZCTA5 28609",61581,"ZCTA5 28609",8948
"G28610","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28610",,,,,,,,"86000US28610",,,"ZCTA5 28610",54880,"ZCTA5 28610",10572
"G28611","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28611",,,,,,,,"86000US28611",,,"ZCTA5 28611",59258,"ZCTA5 28611",35366
"G28612","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28612",,,,,,,,"86000US28612",,,"ZCTA5 28612",44130,"ZCTA5 28612",4179
"G28613","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28613",,,,,,,,"86000US28613",,,"ZCTA5 28613",53628,"ZCTA5 28613",3913
"G28615","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28615",,,,,,,,"86000US28615",,,"ZCTA5 28615",33925,"ZCTA5 28615",8967
"G28616","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28616",,,,,,,,"86000US28616",,,"ZCTA5 28616",88482,"ZCTA5 28616",5513
